customer_id,total_orders,total_spent,avg_order_value,max_order_value,avg_delivery_delay,avg_review_score,late_delivery_ratio,avg_installments,avg_freight_value,first_order_date,last_order_date,customer_tenure_days,days_since_purchase,churn
00012a2ce6f8dcda20d059ce98491703,1,114.74,114.74,114.74,-6.0,1.0,0.0,8.0,24.94,2017-11-14,2017-11-14,0,107,1
000161a058600d5901f007fab4c27140,1,67.41,67.41,67.41,-10.0,4.0,0.0,5.0,12.51,2017-07-16,2017-07-16,0,228,1
0001fd6190edaaf884bcaf3d49edf079,1,195.42,195.42,195.42,-16.0,5.0,0.0,10.0,15.43,2017-02-28,2017-02-28,0,366,1
0002414f95344307404f0ace7a26f1d5,1,179.35,179.35,179.35,-1.0,5.0,0.0,1.0,29.45,2017-08-16,2017-08-16,0,197,1
0004164d20a9e969af783496f3408652,1,71.8,71.8,71.8,-14.0,1.0,0.0,1.0,11.81,2017-04-12,2017-04-12,0,323,1
00046a560d407e99b969756e0b10f282,1,166.59,166.59,166.59,-17.0,5.0,0.0,5.0,45.69,2017-12-18,2017-12-18,0,73,0
00050bf6e01e69d5c0fd612f1bcfb69c,1,85.22999999999999,85.22999999999999,85.22999999999999,-11.0,5.0,0.0,8.0,15.24,2017-09-17,2017-09-17,0,165,1
00062b33cb9f6fe976afdcff967ea74d,1,58.95,58.95,58.95,-11.0,3.0,0.0,1.0,10.96,2017-03-15,2017-03-15,0,351,1
00066ccbe787a588c52bd5ff404590e3,1,270.0,270.0,270.0,-19.0,1.0,0.0,1.0,70.4,2018-02-06,2018-02-06,0,23,0
00072d033fe2e59061ae5c3aff1a2be5,1,106.97,106.97,106.97,-13.0,5.0,0.0,1.0,17.07,2017-09-01,2017-09-01,0,181,1
0009a69b72033b2d0ec8c69fc70ef768,1,173.6,173.6,173.6,-14.0,4.0,0.0,1.0,13.7,2017-04-28,2017-04-28,0,307,1
000bf8121c3412d3057d32371c5d3395,1,45.56,45.56,45.56,-8.0,5.0,0.0,1.0,15.56,2017-10-11,2017-10-11,0,141,1
000e943451fc2788ca6ac98a682f2f49,4,424.92,106.23,106.23,-8.0,4.0,0.0,1.0,16.33,2017-04-20,2017-04-20,0,315,1
